Code;pH;TOC;P;K;Mg;Ca;Na;MC;CEC
AA_36;6.7;1.15;27;29;16;241;6.2;21.73797502;14.39648829
AA_37;6.6;1.14;17;23;10;173;8.8;14.74558671;10.45568562
AA_38;6.8;1.06;17;24;12;159;8.7;17.80955476;9.943645485
AA_39;6.8;1.11;16;24;11;183;7.4;18.84664948;11.00379041
AA_40;7.1;1.12;32;23;15;280;2.1;20.64264849;15.93104794
AA_41;7.2;1.11;25;24;15;289;4.5;20.0619195;16.51103679
AA_42;7;1.24;19;25;12;203;9.2;19.20614597;12.19102564
AA_43;6.9;1.41;21;36;14;190;13.6;19.41074523;12.18104794
AA_44;7.2;1.24;26;34;14;253;16;20.73707371;15.38411371
AA_45;6.7;1.32;25;20;15;234;5.8;19.01192504;13.71499443
AA_47;6.5;1.01;14;24;11;163;8.8;20.89516515;10.06465998
AA_48;6.8;1.31;30;23;13;213;6.6;18.51974776;12.61003344
AA_49;7.1;1.24;27;31;20;265;9.9;20.45922873;16.14197324
AA_50;6.9;1.17;30;25;15;225;3.5;19.61165049;13.29319955
AA_51;7.3;1.18;20;29;18;284;13.2;20.18779343;17.01750279
AA_52;6.8;1.04;25;26;15;198;2.9;20.28632348;11.94275362
AA_53;6.6;1.04;22;19;15;216;1.8;20.72628458;12.61544036
AA_54;7.1;1.19;20;23;17;281;3.5;20.46066407;16.20858417
AA_55;6.7;1.02;10;29;12;161;9.3;21.11010009;10.19793757
AA_56;6.9;1.01;20;25;18;212;7.7;19.47251664;13.07580825
AA_57;6.4;1.15;19;20;13;197;2.9;19.64674571;11.5722408
AA_58;6.7;1.27;20;27;19;231;4.2;22.01442091;14.00824972
AA_59;6.5;1.23;21;26;19;205;4.9;20.125;12.71304348
AB_1;7.7;1.46;31;30;66;2075;4.6;21.71239357;110.2192308
AB_2;7.8;1.29;24;29;61;1618;4;18.87096774;86.90083612
AB_3;7.8;1.4;28;25;67;1892;6.5;20.20860495;101.1069677
AB_4;7.6;1.51;27;22;64;1187;3.9;20.83134257;65.41700111
AB_5;7.7;1.64;23;26;63;1693;3.7;20.2502317;90.72753623
AB_6;7.6;1.31;27;15;61;1290;3.1;19.3627451;70.10273133
AB_7;7.7;1.59;28;19;61;1479;3.1;17.30903994;79.65529543
AB_8;7.6;1.4;30;16;58;1759;4.1;21.14366396;93.37185061
AB_9;7.9;1.45;29;24;62;1444;3.2;21.02231821;78.12118172
AB_11;7.6;1.84;35;28;64;1814;5.1;21.92369694;96.97302118
AB_12;7.6;1.31;30;20;61;1248;3.9;16.06648199;68.16571906
AB_13;7.5;1.13;37;20;71;1185;3.9;19.81009927;65.8490524
AB_14;7.5;1.21;32;23;62;1026;3.6;20.3806016;57.212932
AB_15;7.5;1.16;34;24;62;1063;3.8;20.28985507;59.09726867
AB_16;7.4;1.21;35;28;65;798;3.9;19.56963053;46.2041806
AB_17;7.6;1.445;30;21;64;1587;4.6;20.52932761;85.42179487
AB_18;7.6;0.95;22;23;70;1606;5.1;20.67767159;86.94481605
AB_19;7.5;1.16;26;45;77;1372;7.1;21.95555556;76.47920847
AB_20;7.5;1.94;32;39;67;1340;6.2;21.48126291;73.85289855
AB_21;7.6;1.25;33;34;68;1932;6.6;16.28119294;103.4254181
AB_22;7.4;1.42;36;30;48;648;4.4;22.19512195;37.36053512
AB_23;7.3;1.3;44;21;60;724;3.9;21.17362371;41.90802676
AB_24;7.6;0.96;28;25;68;1700;4.8;21.86465612;91.51638796
AB_25;7.6;1.27;34;29;64;1452;3.7;20.19686475;78.83779264
AB_26;7.6;1;37;25;78;1486;4.2;18.66636425;81.62363434
AB_27;7.7;1.18;31;30;85;2380;7;20.56074766;127.1569119
AB_28;7.6;1.07;33;19;76;1527;4.7;21.01265823;83.37486065
AB_29;7.5;1.25;39;32;54;1530;2.4;14.82813749;81.92486065
AB_30;7.5;1.18;44;33;65;1099;4.1;20.38420491;61.39108138
AB_31;7.8;1.22;43;26;50;1970;7.3;14.43786982;103.6507246
AB_32;7.9;1.21;46;35;71;2900;6.7;16.19047619;152.1054069
AB_33;7.5;1.19;42;30;63;1409;4.8;19.5920102;76.67792642
AB_34;7.8;2.4;31;29;69;3440;9.8;18.77213695;178.9196767
AB_35;7.5;0.85;27;14;56;2380;4.6;14.41734417;124.225641
AB_36;7.5;1.26;42;24;67;1323;5;21.22186495;72.56610925
AB_37;7.7;0.98;32;22;76;1944;4.8;19.76047904;104.3061315
AB_38;7.9;0.88;28;16;53;2380;5.5;15.07500915;124.0660535
AB_39;7.7;1.05;29;24;58;2170;5.1;15.72934974;114.1704571
AK_1;6.8;1.33;24;54;22;191;0.94;2.57;12.81
AK_2;7.1;1.49;16;25;38;397;1;2.82;23.7
AK_3;7.9;0.82;13;23;68;131;2.2;3.64;12.9
AK_4;6.4;0.77;28;33;13;142;1.8;3.43;9.11
AK_5;7.2;1.02;33;30;14;292;2;3.37;16.62
AK_6;6.5;1.39;18;24;19;217;3.2;5.2;13.19
AK_7;5.8;1.51;12;26;15;132;1.2;4.16;8.57
AK_8;6.4;0.93;28;33;12;131;1.9;2.73;8.48
AK_9;6.4;0.89;15;20;16;186;2.6;4.74;11.26
AK_10;6.5;0.85;24;28;12;143;1.8;2.58;8.95
AK_11;6.8;0.97;21;19;14;241;3.6;3.83;13.86
AK_12;6.5;1.32;17;31;21;184;1.8;3.36;11.82
AK_13;6.1;1.18;11;15;18;173;2.7;5.52;10.65
AK_14;6.2;0.79;18;23;13;143;1.9;2.77;8.91
AK_15;6.4;0.93;17;22;14;149;2.7;3.31;9.3
AK_16;6.5;0.94;19;26;15;159;2.7;3.1;9.98
AK_17;7.1;0.88;22;25;13;288;1.6;3.51;16.19
